trade_id,window_ts,asset,market_slug,condition_id,clob_order_id,placed_at,resolved_at,direction,entry_price,stake_usd,entry_reason,config_version,source_agreement,delta_chainlink,delta_tiingo,vpin_at_entry,regime,eval_tier,dynamic_cap,order_type,oracle_outcome,trade_outcome,pnl_usd,payout_usd,resolution_source,is_live,notes,created_at
1212,1775693100,BTC,,,,2026-04-09T00:08:03.185584+00:00,2026-04-09T08:06:51.460595+00:00,YES,0.6800,3.40,v10_DUNE_TRANSITION_T124_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.6000,,trigger,True,,2026-04-09T08:06:51.460595+00:00
1213,1775694900,BTC,,,,2026-04-09T00:38:33.410883+00:00,2026-04-09T08:06:51.566940+00:00,YES,0.6800,3.40,v10_DUNE_NORMAL_T94_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.6000,,trigger,True,,2026-04-09T08:06:51.566940+00:00
1214,1775697600,BTC,,,,2026-04-09T01:22:36.264646+00:00,2026-04-09T08:06:51.672494+00:00,YES,0.6800,3.40,v10_DUNE_TRANSITION_T150_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.6000,,trigger,True,,2026-04-09T08:06:51.672494+00:00
1218,1775698500,BTC,,,,2026-04-09T01:38:20.799733+00:00,2026-04-09T08:06:52.089935+00:00,NO,0.6800,3.40,v10_DUNE_TRANSITION_T106_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.6000,,trigger,True,,2026-04-09T08:06:52.089935+00:00
1215,1775698800,BTC,,,,2026-04-09T01:43:26.333267+00:00,2026-04-09T08:06:51.776249+00:00,NO,0.6800,3.40,v10_DUNE_NORMAL_T100_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.6000,,trigger,True,,2026-04-09T08:06:51.776249+00:00
1217,1775700000,BTC,,,,2026-04-09T02:02:30.514998+00:00,2026-04-09T08:06:51.984522+00:00,YES,0.6800,3.40,v10_DUNE_TRANSITION_T156_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.6000,,trigger,True,,2026-04-09T08:06:51.984522+00:00
1216,1775703000,BTC,,,,2026-04-09T02:52:36.979840+00:00,2026-04-09T08:06:51.880155+00:00,YES,0.6800,3.40,v10_DUNE_TRANSITION_T150_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.6000,,trigger,True,,2026-04-09T08:06:51.880155+00:00
1194,1775704200,BTC,,,,2026-04-09T03:13:22.936670+00:00,2026-04-09T08:06:49.449585+00:00,NO,0.6800,3.40,v10_DUNE_TRANSITION_T104_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.6000,,trigger,True,,2026-04-09T08:06:49.449585+00:00
1220,1775704500,BTC,,,,2026-04-09T03:18:34.513401+00:00,2026-04-09T08:06:52.302559+00:00,NO,0.6800,3.40,v10_DUNE_NORMAL_T92_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.6000,,trigger,True,,2026-04-09T08:06:52.302559+00:00
1196,1775704800,BTC,,,,2026-04-09T03:23:30.603520+00:00,2026-04-09T08:06:49.772643+00:00,NO,0.6800,3.40,v10_DUNE_TRANSITION_T96_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.6000,,trigger,True,,2026-04-09T08:06:49.772643+00:00
1201,1775706300,BTC,,,,2026-04-09T03:48:44.725580+00:00,2026-04-09T08:06:50.303722+00:00,YES,0.6800,3.40,v10_DUNE_TRANSITION_T82_FAK_CG+0.05,v10,,,,,,DUNE,,,,WIN,1.6000,,trigger,True,,2026-04-09T08:06:50.303722+00:00
1223,1775706600,BTC,,,,2026-04-09T03:52:36.392545+00:00,2026-04-09T08:06:52.614624+00:00,YES,0.6800,3.40,v10_DUNE_TRANSITION_T150_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.6000,,trigger,True,,2026-04-09T08:06:52.614624+00:00
